iteration,model,framework,device,pretrain_time(s),input_size,infer_count,generation_time(s),output_size,latency(ms),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MB),max_uss_mem(MB),max_shared_mem(MB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,result_md5,start,end,vision_latency(ms),sampler_latency(ms)
0,MiniCPM-V-2_6,ov,CPU,2.45385,0,0,41.42929,49,845.49577,NA,NA,,30132.07031,17089.17969,13042.89062,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],2024-11-12T15:41:14.354348,2024-11-12T15:41:56.180161,,
1,MiniCPM-V-2_6,ov,CPU,,0,0,40.97271,49,836.17783,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],2024-11-12T15:41:56.180826,2024-11-12T15:42:37.326436,,
avg,MiniCPM-V-2_6,ov,CPU,,0.0,0.0,40.97271,49.0,836.17783,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],,,,
mini,MiniCPM-V-2_6,ov,CPU,,0,0,40.97271,49,836.17783,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],,,,
median,MiniCPM-V-2_6,ov,CPU,,0.0,0.0,40.97271,49.0,836.17783,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration=0: warm-up; iteration=avg: average (exclude warm-up);iteration=mini: minimum value (exclude warm-up);iteration=median: median value (exclude warm-up);,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rss_mem: max rss memory consumption;,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_shared_mem: max shared memory consumption;,,,,,,,,,,,,,,,,,,,,,,,,,,,
