iteration,model,framework,device,pretrain_time(s),input_size,infer_count,generation_time(s),output_size,latency(ms),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MB),max_uss_mem(MB),max_shared_mem(MB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,result_md5,start,end,vision_latency(ms),sampler_latency(ms)
0,MiniCPM-V-2_6,ov,CPU,2.73827,0,0,33.47311,49,683.12467,NA,NA,,30066.11719,18853.90234,11212.21484,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],2024-11-12T19:20:59.808106,2024-11-12T19:21:33.580432,,
1,MiniCPM-V-2_6,ov,CPU,,0,0,28.22618,49,576.04453,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],2024-11-12T19:21:33.580698,2024-11-12T19:22:01.953423,,
avg,MiniCPM-V-2_6,ov,CPU,,0.0,0.0,28.22618,49.0,576.04453,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],,,,
mini,MiniCPM-V-2_6,ov,CPU,,0,0,28.22618,49,576.04453,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],,,,
median,MiniCPM-V-2_6,ov,CPU,,0.0,0.0,28.22618,49.0,576.04453,NA,NA,,,,,0,NA,NA,1,1,NA,NA,['8f21e91dff72bce810f3436b07eb15e4'],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration=0: warm-up; iteration=avg: average (exclude warm-up);iteration=mini: minimum value (exclude warm-up);iteration=median: median value (exclude warm-up);,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rss_mem: max rss memory consumption;,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_shared_mem: max shared memory consumption;,,,,,,,,,,,,,,,,,,,,,,,,,,,
