iteration,model,framework,device,pretrain_time(s),input_size,infer_count,generation_time(s),output_size,latency(ms),1st_latency(ms),2nd_avg_latency(ms),precision,max_rss_mem(MB),max_uss_mem(MB),max_shared_mem(MB),prompt_idx,1st_infer_latency(ms),2nd_infer_avg_latency(ms),num_beams,batch_size,tokenization_time,detokenization_time,result_md5,start,end,vision_latency(ms),sampler_latency(ms)
0,MiniCPM-V-2_6,ov,GPU,11.71988,350,50,38.15192,50,763.03846,21056.49433,348.49267,,26959.94141,17706.19141,9257.65625,0,20989.42108,345.20661,1,1,25.75082,21.2769,['fed273dd0b3393a1a1e3b7bc902f518e'],2024-11-12T19:19:18.855408,2024-11-12T19:19:57.082508,,
1,MiniCPM-V-2_6,ov,GPU,,350,50,28.47394,50,569.47886,12354.79908,328.51136,,,,,0,12337.31009,327.22576,1,1,144.72533,0.14357,['fed273dd0b3393a1a1e3b7bc902f518e'],2024-11-12T19:19:57.083506,2024-11-12T19:20:25.921537,,
avg,MiniCPM-V-2_6,ov,GPU,,350.0,50.0,28.47394,50.0,569.47886,12354.79908,328.51136,,,,,0,12337.31009,327.22576,1,1,144.72533,0.14357,['fed273dd0b3393a1a1e3b7bc902f518e'],,,,
mini,MiniCPM-V-2_6,ov,GPU,,350,50,28.47394,50,569.47886,12354.79908,328.51136,,,,,0,12337.31009,327.22576,1,1,144.72533,0.14357,['fed273dd0b3393a1a1e3b7bc902f518e'],,,,
median,MiniCPM-V-2_6,ov,GPU,,350.0,50.0,28.47394,50.0,569.47886,12354.79908,328.51136,,,,,0,12337.31009,327.22576,1,1,144.72533,0.14357,['fed273dd0b3393a1a1e3b7bc902f518e'],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokenization_time: Tokenizer encode time,,,,,,,,,,,,,,,,,,,,,,,,,,,
detokenization_time: Tokenizer decode time,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretrain_time: Total time of load model and compile model,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_time: Time for one interaction. (e.g. The duration of  answering one question or generating one picture),,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration=0: warm-up; iteration=avg: average (exclude warm-up);iteration=mini: minimum value (exclude warm-up);iteration=median: median value (exclude warm-up);,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rss_mem: max rss memory consumption;,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_shared_mem: max shared memory consumption;,,,,,,,,,,,,,,,,,,,,,,,,,,,
